2018-05-09 06:59:35 status unpacked gir1.2-javascriptcoregtk-4.0:amd64 2.20.2-0ubuntu0.16.04.1
2018-05-09 06:59:35 upgrade libraw15:amd64 0.17.1-1ubuntu0.2 0.17.1-1ubuntu0.3
2018-05-09 06:59:36 status half-configured libraw15:amd64 0.17.1-1ubuntu0.2
2018-05-09 06:59:36 status unpacked libraw15:amd64 0.17.1-1ubuntu0.2
2018-05-09 06:59:36 status half-installed libraw15:amd64 0.17.1-1ubuntu0.2
2018-05-09 06:59:36 status half-installed libraw15:amd64 0.17.1-1ubuntu0.2
2018-05-09 06:59:36 status unpacked libraw15:amd64 0.17.1-1ubuntu0.3
2018-05-09 06:59:36 status unpacked libraw15:amd64 0.17.1-1ubuntu0.3
2018-05-09 06:59:36 upgrade linux-firmware:all 1.157.16 1.157.17
2018-05-09 06:59:36 status half-configured linux-firmware:all 1.157.16
2018-05-09 06:59:36 status unpacked linux-firmware:all 1.157.16
2018-05-09 06:59:36 status half-installed linux-firmware:all 1.157.16
2018-05-09 06:59:41 status half-installed linux-firmware:all 1.157.16
2018-05-09 06:59:41 status unpacked linux-firmware:all 1.157.17
2018-05-09 06:59:41 status unpacked linux-firmware:all 1.157.17
2018-05-09 06:59:41 install linux-image-4.13.0-41-generic:amd64 <none> 4.13.0-41.46~16.04.1
2018-05-09 06:59:41 status half-installed linux-image-4.13.0-41-generic:amd64 4.13.0-41.46~16.04.1
2018-05-09 06:59:43 status unpacked linux-image-4.13.0-41-generic:amd64 4.13.0-41.46~16.04.1
2018-05-09 06:59:43 status unpacked linux-image-4.13.0-41-generic:amd64 4.13.0-41.46~16.04.1
2018-05-09 06:59:43 install linux-image-extra-4.13.0-41-generic:amd64 <none> 4.13.0-41.46~16.04.1
2018-05-09 06:59:43 status half-installed linux-image-extra-4.13.0-41-generic:amd64 4.13.0-41.46~16.04.1
2018-05-09 06:59:50 status unpacked linux-image-extra-4.13.0-41-generic:amd64 4.13.0-41.46~16.04.1
2018-05-09 06:59:50 status unpacked linux-image-extra-4.13.0-41-generic:amd64 4.13.0-41.46~16.04.1
2018-05-09 06:59:50 upgrade linux-generic-hwe-16.04:amd64 4.13.0.39.58 4.13.0.41.60
